L,Full mission,A x A,B x B,A x B
1.460000000000000000e+02,-2.434064765968725619e-03,-7.952669467583902037e-04,-1.851393662651860473e-03,1.474425231827864976e-03
1.470000000000000000e+02,8.111842855113066044e-04,2.085553628278365504e-03,6.997934755454857884e-04,-3.156899563447774885e-03
1.480000000000000000e+02,1.232910375447468510e-03,6.430988119806848799e-03,-5.614224169582953707e-04,-6.563450099813766380e-04
1.490000000000000000e+02,-3.142323786108630482e-04,-1.234940128867184628e-03,-1.231693057148029215e-03,-7.386063775812370513e-04
1.500000000000000000e+02,-5.105728673253633748e-05,-8.650337182438183614e-03,7.344742411705807925e-03,-2.946239725015512814e-04
1.510000000000000000e+02,-1.056378725032206542e-03,-2.719794317018407390e-03,-1.411659987291825121e-03,1.576714623260414743e-03
1.520000000000000000e+02,-6.762825297522434293e-04,-3.920175556205076489e-03,1.670292896990506265e-03,-8.469902441856424569e-04
1.530000000000000000e+02,-2.186418905722960042e-03,-2.734540352645311971e-03,-6.142608685646882075e-03,-2.529676129993754709e-03
1.540000000000000000e+02,-1.098269162136342354e-03,-2.186434629025813762e-03,-2.497293571219743637e-03,-1.964194060818553154e-03
1.550000000000000000e+02,-2.209768185324985368e-03,4.023092911784464584e-03,8.294098548670570531e-04,-3.073774570681285685e-03
1.560000000000000000e+02,6.921374549677958635e-04,6.345877476864291745e-03,-2.212900732500942130e-04,4.876117090754326054e-03
1.570000000000000000e+02,1.752570719716598554e-03,9.560949602456948054e-04,-9.606113190226985531e-04,1.646362160533211029e-03
1.580000000000000000e+02,-2.134416657678810808e-03,-3.147801932042203384e-03,-2.172799079356118896e-03,3.185770495516888901e-03
1.590000000000000000e+02,4.569715907361618368e-04,-1.673038307250118966e-03,-3.670538274576005695e-03,3.139454004465110429e-03
1.600000000000000000e+02,-8.431184942777149088e-04,-3.044879654194147106e-03,1.093696088886976676e-03,-2.087770605508990247e-03
1.610000000000000000e+02,-1.547597253744821544e-03,-3.312789031136706072e-04,1.370041524073316438e-03,-2.684293778686852767e-03
1.620000000000000000e+02,-2.446891181656046625e-04,-7.299291261371701478e-03,-3.370685728284409776e-04,-1.080647211455707229e-03
1.630000000000000000e+02,-8.807101395371889213e-04,-1.082696140257556616e-03,-4.681337949559537595e-03,1.732940712563217937e-03
1.640000000000000000e+02,-1.926711448053864415e-03,-3.509083875322099172e-04,1.815444002887856879e-04,1.547292137613191700e-03
1.650000000000000000e+02,2.026425332220773996e-03,-1.894478944440514730e-03,8.107560994887318562e-04,2.756479974082487894e-03
1.660000000000000000e+02,-7.448039668702028694e-05,8.849737568203700985e-04,-4.342888652601027515e-03,2.095689563547900158e-03
1.670000000000000000e+02,-1.026409391153518258e-03,1.874247539047625656e-03,1.275835707545166457e-03,-1.611859089463753020e-03
1.680000000000000000e+02,1.527068487961139075e-03,1.713020667534407952e-03,-3.963896354927785685e-03,3.272422970804410910e-03
1.690000000000000000e+02,4.794817272891780183e-04,2.769735293859805578e-03,-3.654579077035180566e-04,6.337113907162270771e-05
1.700000000000000000e+02,3.598993705313887790e-04,8.559077572979890969e-03,3.961347830956152890e-04,-2.115590803132014544e-03
1.710000000000000000e+02,6.154508154277327399e-05,4.656496079084529276e-03,-6.289427013542942587e-04,-1.126457565218204684e-03
1.720000000000000000e+02,-1.692475142116946392e-03,2.997267065631867636e-03,-7.392021789429823950e-04,-1.370045559599592649e-03
1.730000000000000000e+02,2.745292504644730822e-03,-2.282518890768459735e-03,3.003043581325854153e-03,-2.750651150863735737e-05
1.740000000000000000e+02,-1.401522054024705271e-04,-2.710562169022179193e-03,-3.494769783979074368e-03,1.805293506562357948e-03
1.750000000000000000e+02,3.280074160958143309e-04,4.648897632672892299e-03,2.751694750400227041e-03,9.846653085771976677e-04
1.760000000000000000e+02,-7.933039970679334023e-05,-8.312473606881050532e-04,-2.196286734203676573e-03,1.862415320493155963e-03
1.770000000000000000e+02,-1.151894677125828376e-03,-7.261113341231546087e-03,-3.515987754230913333e-03,9.360370418660773602e-04
1.780000000000000000e+02,-1.929956130474180104e-03,-1.179031578972036635e-03,-2.680690037738545257e-03,-3.714459124591441147e-03
1.790000000000000000e+02,-2.750547408189781776e-03,-1.313968549516325232e-03,-3.731692138641541819e-03,-3.779848884670285528e-03
1.800000000000000000e+02,7.923583037144288832e-04,-4.304670552952511928e-03,1.251815974077272707e-03,1.162937070210307141e-03
1.810000000000000000e+02,1.393094002414833193e-03,-1.720947489130613631e-03,9.289691174936723188e-04,4.638945254665060094e-03
1.820000000000000000e+02,3.241154296609136988e-03,-1.759519243345415620e-03,2.755071945528127144e-03,2.549985486289894476e-03
1.830000000000000000e+02,8.624500282776107873e-04,2.523726693093532227e-03,2.981443222776959494e-03,-1.085428694070370015e-03
1.840000000000000000e+02,-5.368936060168728441e-06,-1.745868307403462306e-03,1.718366476125226736e-03,-2.266501128655323133e-03
1.850000000000000000e+02,3.362757585297781885e-04,-1.082537201138213893e-03,-6.588664785662201248e-03,1.612522974434992895e-03
1.860000000000000000e+02,5.193562264717641996e-04,2.997197333102221209e-03,-1.790054973061169525e-04,5.262125694645262302e-05
1.870000000000000000e+02,-1.453533455314234358e-04,1.075819724387720375e-03,1.825383242931494015e-03,2.485771413469393606e-03
1.880000000000000000e+02,9.166704140108588705e-04,1.800516068973487347e-03,2.268250880276773216e-03,-3.143559460191633912e-04
1.890000000000000000e+02,1.640015673436735072e-03,1.951346791446692108e-03,2.458468123823897428e-03,2.917012957245634398e-03
1.900000000000000000e+02,-6.260027686785237877e-04,3.100802661524925709e-03,-1.638526866012101832e-03,-5.276238049731389948e-03
1.910000000000000000e+02,-3.088759983194740849e-05,-2.074127281354600904e-03,4.432969144204058562e-04,2.613342690601360655e-03
1.920000000000000000e+02,1.724496607936298366e-03,2.490674788130748177e-03,-2.346038559654570459e-04,-1.013106863926917798e-03
1.930000000000000000e+02,5.975798347067682150e-05,-1.992186394343477534e-03,5.498469007981137205e-04,2.704642134430408802e-03
1.940000000000000000e+02,4.347093461104103258e-04,-2.126119358664050382e-03,-3.501808754567241940e-03,-9.905122920067332797e-04
1.950000000000000000e+02,1.191034444272771019e-03,-2.095833363898409307e-03,8.016984641225333684e-04,5.008487869373810623e-04
1.960000000000000000e+02,1.780588908534687202e-03,-3.567638783629543779e-03,1.618565582031161743e-03,3.155863546708250790e-03
1.970000000000000000e+02,1.575438029395394941e-03,-3.541851278508354340e-03,3.236645048971781291e-03,9.309729179249481455e-04
1.980000000000000000e+02,-8.557168120303926522e-04,-4.160610681522869739e-03,-6.455132927445273068e-03,-5.707809287162846285e-05
1.990000000000000000e+02,3.341572098178387847e-03,4.954310253009973179e-03,6.449056465243326389e-04,2.314786619366883402e-03
2.000000000000000000e+02,1.509164219143272227e-04,-2.186050279464142512e-03,1.763382703480699878e-03,2.058483339893469981e-03
2.010000000000000000e+02,3.752105442191105934e-04,2.416667726035949190e-03,-3.454278558660046038e-03,-1.128900411795491542e-03
2.020000000000000000e+02,1.581359881158246258e-04,2.082289424074687013e-03,2.635857441333263468e-04,4.443470362452008981e-04
2.030000000000000000e+02,-5.555700161368063231e-04,-1.315536317658280718e-03,-5.080614682439098077e-03,1.280540255021897467e-04
