L,Full mission,HM1 x HM1,HM2 x HM2,HM1 x HM2
1.610000000000000000e+02,-2.276910166413283697e-04,-1.360203800516543177e-03,-8.461000059962454911e-03,4.161341127621755870e-03
1.620000000000000000e+02,1.654887390574318398e-03,-9.852495868242854525e-04,4.274476494655451292e-03,-1.877279761605442267e-03
1.630000000000000000e+02,-3.945107014692891649e-03,2.988756183060939636e-03,-3.530120365984992618e-03,-6.679063611602705820e-03
1.640000000000000000e+02,-1.078052853947477317e-03,-3.068991345709529660e-03,6.650135892033666278e-03,-8.880454290104779907e-03
1.650000000000000000e+02,3.966382294611488050e-03,1.678273177712977238e-04,8.609318495661284071e-03,2.236992344644816739e-03
1.660000000000000000e+02,2.041314486027922571e-03,3.330182748474506439e-03,6.934972423070596102e-03,6.642409544054261872e-03
1.670000000000000000e+02,-9.940254190851554109e-04,7.042788320601462825e-04,-2.790700872197539577e-03,2.673323048930587031e-03
1.680000000000000000e+02,-2.251168817216698832e-04,2.322978530476342389e-03,2.935898745325625590e-03,-1.839261903301577005e-03
1.690000000000000000e+02,5.780698210859604646e-04,6.228376504224565624e-03,-7.514608055786756169e-04,1.642589667331258033e-03
1.700000000000000000e+02,1.587866513339642014e-04,-2.859201888158052329e-03,9.403395685879181731e-03,-4.423226466678145501e-03
1.710000000000000000e+02,-1.025122649515813151e-04,1.400957037264715819e-03,5.501306625751902629e-05,1.315500485173945987e-03
1.720000000000000000e+02,-2.484174105106097346e-04,-1.011580698635994313e-03,3.127251450860070361e-03,-5.659021901780848319e-04
1.730000000000000000e+02,1.802853538049309194e-03,7.729542200321190895e-03,7.714844505183828145e-03,1.528060705782889519e-03
1.740000000000000000e+02,1.317327567612499402e-03,2.003643233546971957e-03,9.204733117908108289e-04,4.178642508278010599e-03
1.750000000000000000e+02,7.504439215478812429e-04,1.317470559844735514e-03,3.685842733119185522e-03,-4.523033209879548941e-04
1.760000000000000000e+02,3.269788494234424688e-03,-1.119835405105211804e-02,6.448472977370013279e-03,5.592652319010100494e-03
1.770000000000000000e+02,5.572641355540864250e-04,2.240696729501312576e-03,-3.159967500679039965e-03,2.004260200750774407e-03
1.780000000000000000e+02,-8.881830537865765011e-04,9.195816068214570163e-03,-4.052301693973110221e-03,-4.242924110570801127e-03
1.790000000000000000e+02,-2.648529806822261506e-03,-1.077024861634523056e-03,-5.403458114264673984e-03,-5.637980919328316499e-03
1.800000000000000000e+02,2.961726983973219773e-03,1.206278731657804866e-02,1.225444825949955144e-02,5.728068049853516502e-03
1.810000000000000000e+02,2.292547368687323540e-03,3.009463997518255045e-03,-2.039185704863275602e-03,1.726262558067114981e-03
1.820000000000000000e+02,3.491447527396762934e-03,1.652282813953457295e-04,6.967262066269276632e-03,3.631284155389316679e-03
1.830000000000000000e+02,5.727775628429811064e-04,-2.457933307998725302e-04,-9.017248325211408427e-03,-2.512476363429071158e-03
1.840000000000000000e+02,-3.315589640709162237e-04,-8.439381876758234730e-03,-5.838417995441731907e-03,-1.029667988877341943e-03
1.850000000000000000e+02,-2.492973218939317955e-03,2.975444715789186435e-03,-7.014975658482629217e-05,-7.871836018013817979e-03
1.860000000000000000e+02,-7.793631905843730837e-04,-8.486893036517910785e-03,2.146524277218890987e-03,-1.485551457823194171e-03
1.870000000000000000e+02,5.344154457729455732e-04,1.003849463874780142e-02,-5.918910298668022055e-03,-2.493923412522811803e-03
1.880000000000000000e+02,5.980847311140744752e-04,2.579584812682215577e-03,3.886160606336728704e-03,-3.443129066860823803e-04
1.890000000000000000e+02,6.128075516982233904e-04,-1.560637523227383213e-03,-1.197573446646954618e-03,-2.103629098119898580e-03
1.900000000000000000e+02,-5.050542968190309488e-04,1.056300488956482542e-02,-2.870460757710036233e-03,-3.006091030643066875e-03
1.910000000000000000e+02,-9.035833890460591607e-04,-3.926681582566756562e-03,-4.635592400888654749e-03,4.760150897825787125e-03
1.920000000000000000e+02,1.478008181597914063e-03,-8.688414102674662381e-03,8.048012660525436651e-03,1.560789256618859335e-03
1.930000000000000000e+02,1.065245136768318713e-03,2.001759837982561036e-03,1.448350571627596110e-03,-2.973389523594116741e-03
1.940000000000000000e+02,-9.045114677141220848e-05,-3.056222685889343083e-03,2.742307517420031551e-03,-7.331221443050770078e-04
1.950000000000000000e+02,4.133704741066554673e-03,1.898260431277846907e-04,-2.745649940570310619e-03,4.360000842230809560e-03
1.960000000000000000e+02,3.260635590003605876e-03,-2.622097439825720432e-03,9.598943097265093954e-03,1.604479752213303816e-03
1.970000000000000000e+02,3.838351845939927745e-03,2.155458898269971280e-03,6.687499750181343655e-03,5.474992855579810698e-03
1.980000000000000000e+02,-8.945222820461081739e-05,-2.280850631760129085e-03,2.167592056600130702e-03,-5.954531477878351360e-03
1.990000000000000000e+02,2.541590056792191431e-03,-2.066493266449797965e-03,6.601956676412566553e-03,-3.376550809124458704e-03
2.000000000000000000e+02,-6.955410616309742910e-06,-1.415194677580288926e-02,9.015758208159277594e-04,2.059355259761436446e-03
2.010000000000000000e+02,-4.050221235497502258e-03,-4.356345130652332018e-03,-4.849134019862344144e-03,-5.284111885094210787e-04
2.020000000000000000e+02,1.220297715277585604e-03,4.805294171009873681e-03,4.435203648810904717e-03,3.496596078193923811e-03
2.030000000000000000e+02,-4.660038812558798919e-03,-4.954610167955285881e-03,-4.933767430678592109e-03,-2.689983393043832681e-03
2.040000000000000000e+02,1.859722365422234857e-04,-5.316967181542761860e-04,-2.445158222332532820e-03,-2.182173108204313490e-03
